seller_id,seller_name,origin
1,AmazonBasics,USA
2,AnkerDirect,USA
3,Tech Armor,USA
4,iSaddle,USA
5,Ailun,USA
6,Etekcity,USA
7,Ring,USA
8,Logitech Store,USA
9,TP-Link Official,USA
10,Blink Home Security,China
11,Wyze Labs,China
12,Echo Direct,China
13,Jabra Official,China
14,Belkin Store,USA
15,SanDisk Direct,USA
16,Anker Innovations,China
17,Baseus Official,China
18,UGREEN Official,China
19,Aukey Store,China
20,RAVPower,China
21,NexHub,China
22,UrbanLine,USA
23,SwiftHub,Germany
24,SmartSupply,China
25,NexPoint,UK
26,VitalTrade,USA
27,TerraWare,USA
28,VividHub,USA
29,NexTraders,USA
30,EcoWorks,China
31,PureMart,China
32,BrightDepot,China
33,TechWare,USA
34,LumenSupply,China
35,UrbanRetail,India
36,GlobalDepot,India
37,NexLabs,USA
38,SmartDirect,USA
39,CrestWare,South Korea
40,TechCraft,USA
41,EcoMart,USA
42,GlobalTraders,USA
43,SmartRetail,USA
44,PrimeTrade,USA
45,EverSupply,Germany
46,SmartWare,China
47,BrightGear,Germany
48,PrimeLine,USA
49,TerraHub,China
50,PrimeSupply,China
51,ZenCraft,India
52,EcoCraft,China
53,BoldTrade,USA
54,BrightGoods,USA
55,TerraGear,USA
56,NovaSolutions,China
57,BoldCraft,China
58,NovaDepot,China
59,GlobalCo,China
60,NovaWorks,USA
61,PureHub,USA
62,VitalLabs,USA
63,NexWare,China
64,PureTrade,USA
65,TechLine,China
